Γ_t_d2,Δprimes,Δprimes_err
0.0,-0.19388717841455513,0.04524448915012507
0.05,-0.22925970191277112,0.046584994169831334
0.1,-0.2646322254109874,0.04792549918953754
0.15000000000000002,-0.30000474890920353,0.049266004209243736
0.2,-0.3353772724074198,0.05060650922894994
0.25,-0.370749795905636,0.051947014248656206
0.30000000000000004,-0.40612231940385224,0.05328751926836235
0.35000000000000003,-0.4414948429020683,0.054628024288068525
0.4,-0.4768673664002844,0.055968529307774746
0.45,-0.5122398898985006,0.05730903432748093
0.5,-0.5476124133967168,0.058649539347187224
0.55,-0.5829849368949331,0.059990044366893334
0.6000000000000001,-0.6183574603931493,0.06133054938659963
0.65,-0.6537299838913653,0.0626710544063058
0.7000000000000001,-0.6891025073895815,0.06401155942601194
0.75,-0.7244750308877977,0.06535206444571821
